c_1_10_10	0	[-187.7578, -278.70847, -190.5447, -411.22794, -630.44574]
c_1_10_100	2	[-142.8561, -260.5547, -88.40018, -133.56285, -219.40019]
c_1_10_101	2	[-193.14838, -259.73312, -167.87202, -386.8218, -616.9819]
c_1_10_104	0	[-255.45506, -290.61594, -313.36957, -787.2496, -1211.8989]
c_1_10_106	2	[-166.4879, -266.1259, -149.86815, -292.0139, -445.72888]
c_1_10_107	2	[-162.53793, -275.2175, -127.389984, -210.10783, -327.4585]
c_1_10_11	2	[-149.83878, -262.2161, -90.0797, -154.53082, -269.60928]
c_1_10_110	1	[-494.6848, -444.10388, -785.4991, -1933.7981, -2913.3484]
c_1_10_111	2	[-163.87915, -264.77795, -116.8272, -234.04552, -401.90158]
c_1_10_115	1	[-333.95398, -326.48907, -462.02905, -1171.1829, -1791.9742]
c_1_10_116	0	[-242.32951, -283.1253, -298.0067, -751.47217, -1163.5912]
c_1_10_122	2	[-172.88394, -255.65378, -141.98773, -341.07, -548.6456]
c_1_10_125	0	[-209.55278, -295.41702, -228.15619, -502.6551, -756.08704]
c_1_10_126	2	[-141.97105, -254.60332, -102.424644, -185.64821, -288.68726]
c_1_10_130	1	[-340.85754, -318.63046, -422.71817, -1098.2227, -1706.5482]
c_1_10_132	2	[-191.37872, -285.33856, -187.95901, -401.3674, -627.8812]
c_1_10_133	0	[-186.41283, -257.252, -196.34323, -479.819, -754.8929]
c_1_10_135	1	[-695.5333, -503.3822, -1094.1888, -2813.9988, -4293.475]
c_1_10_147	2	[-149.54431, -254.23544, -92.898026, -173.52927, -284.75616]
c_1_10_148	1	[-316.6222, -310.67416, -424.14966, -1064.3074, -1638.8165]
c_1_10_149	1	[-619.56165, -454.12332, -948.4798, -2463.1047, -3757.7517]
c_1_10_150	2	[-154.74007, -260.46472, -134.87476, -276.58755, -420.97656]
c_1_10_154	1	[-326.8225, -319.39023, -379.5495, -943.8608, -1478.884]
c_1_10_16	0	[-199.45143, -284.50708, -228.76561, -535.4807, -847.90704]
c_1_10_160	1	[-471.72864, -386.3617, -678.7259, -1744.2694, -2662.348]
c_1_10_163	2	[-142.76425, -260.5273, -85.135506, -120.12094, -204.95657]
c_1_10_164	2	[-147.80147, -258.74524, -95.55831, -163.1785, -258.75427]
c_1_10_171	0	[-220.96143, -275.0822, -260.21555, -635.97943, -967.63446]
c_1_10_173	2	[-157.20427, -264.81638, -128.02591, -230.63667, -347.67508]
c_1_10_191	0	[-212.4057, -286.42502, -255.1434, -592.6271, -915.5248]
c_1_10_192	1	[-392.80386, -358.32004, -547.10596, -1369.3743, -2093.6414]
c_1_10_193	1	[-410.5551, -361.5758, -582.4718, -1493.0049, -2286.7417]
c_1_10_202	2	[-161.01381, -260.61484, -115.48806, -222.00844, -362.0972]
c_1_10_204	0	[-213.04489, -288.49796, -250.65852, -560.0539, -859.018]
c_1_10_205	2	[-143.79657, -258.07333, -92.27381, -145.49666, -232.03745]
c_1_10_206	3	[-132.9471, -259.03958, -66.968575, -60.525646, -94.43587]
c_1_10_207	1	[-446.42026, -393.0079, -773.36456, -1980.7336, -2980.2046]
c_1_10_209	1	[-451.57935, -382.13126, -632.1967, -1612.7227, -2450.496]
c_1_10_210	1	[-402.38153, -363.83643, -580.47034, -1456.3939, -2227.9097]
c_1_10_211	1	[-373.86163, -329.3483, -434.00635, -1120.6248, -1746.8782]
c_1_10_212	2	[-159.12677, -266.48013, -122.48664, -234.81352, -379.6768]
c_1_10_217	0	[-270.5757, -303.89868, -325.77475, -779.4738, -1216.4485]
c_1_10_222	0	[-284.54742, -327.623, -356.1856, -813.2864, -1254.5043]
c_1_10_228	0	[-338.3982, -343.36957, -445.07474, -1081.334, -1657.1831]
c_1_10_230	0	[-275.75778, -295.68445, -362.61908, -924.124, -1418.8364]
c_1_10_232	2	[-164.9595, -262.20642, -112.0228, -220.43022, -345.0419]
c_1_10_233	1	[-353.63998, -333.93915, -496.8856, -1273.1154, -1944.0337]
c_1_10_238	2	[-191.15677, -288.56213, -156.99394, -293.13095, -462.60648]
c_1_10_24	1	[-432.26797, -418.841, -640.6163, -1538.1938, -2326.126]
c_1_10_242	2	[-170.94531, -272.41696, -152.70367, -290.3445, -446.8308]
c_1_10_245	2	[-146.29747, -248.4883, -109.725395, -233.96541, -361.6519]
c_1_10_247	0	[-256.9589, -298.67374, -327.8486, -792.7143, -1219.0624]
c_1_10_248	0	[-283.708, -288.91348, -340.04782, -890.10925, -1352.9114]
c_1_10_253	0	[-252.2355, -292.57874, -293.71198, -710.56213, -1094.9058]
c_1_10_258	2	[-140.2337, -262.61307, -84.51818, -111.7022, -177.15317]
c_1_10_259	2	[-207.7445, -277.69327, -199.06818, -441.14987, -689.8559]
c_1_10_26	0	[-281.8263, -316.2601, -391.28464, -963.36304, -1465.2473]
c_1_10_263	2	[-137.00716, -258.90558, -82.03629, -116.0656, -180.09163]
c_1_10_264	3	[-126.80363, -256.43674, -57.733665, -36.938255, -57.594418]
c_1_10_268	2	[-131.02797, -252.88193, -68.49141, -79.17984, -130.54643]
c_1_10_275	2	[-131.63008, -252.69557, -64.90799, -77.66293, -131.08105]
c_1_10_276	2	[-151.15248, -265.51544, -106.98566, -185.15903, -294.95822]
c_1_10_281	1	[-458.2116, -408.27917, -703.883, -1735.0245, -2618.2024]
c_1_10_282	2	[-140.36131, -261.26816, -77.131744, -93.25256, -151.76358]
c_1_10_284	1	[-379.84225, -326.1195, -518.36096, -1391.8428, -2147.7544]
c_1_10_285	3	[-122.722046, -249.5253, -54.58483, -47.836105, -76.70869]
c_1_10_286	2	[-155.11859, -261.27274, -100.98682, -179.2506, -292.64835]
c_1_10_3	2	[-166.9354, -261.33923, -141.85623, -297.93597, -473.2494]
c_1_10_301	1	[-509.1337, -416.11758, -815.41187, -2051.114, -3111.369]
c_1_10_302	2	[-140.4258, -260.97525, -77.54006, -95.913666, -153.16428]
c_1_10_303	3	[-131.42136, -258.40097, -64.79573, -54.97501, -84.53179]
c_1_10_31	2	[-134.10577, -259.47238, -73.110695, -85.79097, -150.75526]
c_1_10_315	2	[-131.58408, -252.78235, -74.078545, -99.35791, -159.58818]
c_1_10_32	0	[-252.54109, -301.7663, -298.0455, -728.2451, -1139.9572]
c_1_10_324	2	[-140.11166, -259.4401, -82.667755, -110.60038, -170.19322]
c_1_10_325	2	[-146.13145, -258.00406, -94.97481, -159.44829, -254.47826]
c_1_10_330	2	[-158.64378, -264.4638, -105.61612, -188.728, -302.68475]
c_1_10_332	1	[-511.46494, -424.3286, -853.2266, -2156.8423, -3249.6467]
c_1_10_333	3	[-129.78006, -255.59186, -62.648495, -60.640697, -95.822395]
c_1_10_340	2	[-161.22107, -264.46588, -142.20528, -283.69708, -418.76645]
c_1_10_343	3	[-126.385925, -255.70563, -57.537636, -41.533585, -66.80507]
c_1_10_344	0	[-222.29947, -284.94556, -278.80933, -679.2059, -1032.5]
c_1_10_345	2	[-146.43533, -260.84372, -87.51514, -126.15339, -210.20511]
c_1_10_364	2	[-166.50078, -271.3357, -145.32495, -275.62375, -415.32755]
c_1_10_369	1	[-629.48444, -448.03683, -888.8552, -2310.6816, -3512.9216]
c_1_10_375	2	[-148.34227, -263.49365, -104.05666, -166.33318, -262.29788]
c_1_10_380	1	[-549.95734, -425.60196, -856.49677, -2150.2039, -3202.4055]
c_1_10_386	0	[-263.28897, -304.50958, -374.5104, -926.67786, -1406.638]
c_1_10_387	2	[-145.299, -257.85553, -89.080795, -132.88425, -208.71559]
c_1_10_388	3	[-121.73922, -250.22102, -49.29885, -27.770405, -47.69112]
c_1_10_389	0	[-211.96082, -281.9141, -220.30864, -500.13318, -793.2209]
c_1_10_39	0	[-324.91373, -341.66638, -361.58728, -860.74695, -1349.6499]
c_1_10_399	0	[-197.57176, -272.16965, -235.79317, -560.3417, -855.3357]
c_1_10_40	1	[-398.58423, -370.42853, -494.24353, -1200.1626, -1807.68]
c_1_10_402	2	[-175.20792, -278.5066, -144.85306, -256.99307, -397.53223]
c_1_10_408	2	[-142.32826, -265.5022, -84.31532, -102.050354, -161.68001]
c_1_10_409	2	[-137.87991, -260.56857, -77.585724, -97.21954, -160.7728]
c_1_10_41	2	[-153.75397, -264.92322, -111.41343, -192.88861, -305.48083]
c_1_10_42	0	[-261.61365, -294.44186, -336.45978, -841.7947, -1309.2251]
c_1_10_421	2	[-134.03554, -250.55125, -68.81194, -85.92965, -136.63695]
c_1_10_423	2	[-137.00464, -259.6227, -73.76975, -82.40419, -124.14667]
c_1_10_424	3	[-127.82795, -253.10922, -58.2306, -52.290295, -85.20128]
c_1_10_426	0	[-231.8498, -278.15335, -246.27536, -603.84686, -950.7459]
c_1_10_438	0	[-193.55812, -281.634, -199.56335, -421.79965, -658.92584]
c_1_10_44	2	[-168.90977, -264.03943, -132.2272, -260.11685, -404.04633]
c_1_10_440	2	[-211.47311, -271.86127, -198.06532, -458.581, -713.4757]
c_1_10_445	0	[-237.0165, -271.9649, -275.58994, -726.37915, -1118.419]
c_1_10_456	0	[-189.55566, -271.8638, -220.50403, -512.3207, -774.2554]
c_1_10_457	0	[-235.50287, -288.5324, -302.74927, -726.36414, -1105.3481]
c_1_10_458	2	[-149.54968, -248.00641, -139.7859, -313.22675, -479.33447]
c_1_10_5	2	[-149.75076, -250.19208, -110.536736, -227.0989, -365.80652]
c_1_10_51	2	[-132.7403, -253.74954, -82.42238, -120.54758, -188.29657]
